date,temperature_2m_max,temperature_2m_mean,temperature_2m_min,wind_speed_10m_mean,relative_humidity_2m_mean,relative_humidity_2m_max,rain_sum,precipitation_sum,pressure_msl_mean,cloud_cover_mean
2015-04-26 00:00:00+00:00,27.142109,24.306997,22.288364,5.1636796,100.0,,,0.14554755,1010.79114,82.91174
2015-04-27 00:00:00+00:00,29.48452,25.30292,23.230621,5.721255,95.21683,,,6.2409043,1010.49304,80.7611
2015-04-28 00:00:00+00:00,27.976923,24.948843,22.772879,5.134641,93.126854,,,12.157932,1010.3951,89.61045
2015-04-29 00:00:00+00:00,28.869326,25.694769,23.315138,3.6979322,89.03688,,,4.6191087,1011.0969,87.45981
2015-04-30 00:00:00+00:00,29.961733,26.240692,23.807398,3.6875567,86.9469,,,5.902626,1012.09894,44.30916
2015-05-01 00:00:00+00:00,31.604136,27.036613,24.349655,5.091543,83.856926,,,0.28719002,1012.0009,22.158508
2015-05-02 00:00:00+00:00,31.646544,27.53254,24.241913,5.6414433,84.76695,,,0.0,1011.40283,41.007866
2015-05-03 00:00:00+00:00,31.78895,27.978464,25.034172,5.625683,81.67698,,,0.8572691,1011.00476,37.85722
2015-05-04 00:00:00+00:00,30.662937,27.593742,25.541637,5.6297603,80.58206,,,4.6033735,1011.4979,62.95036
2015-05-05 00:00:00+00:00,29.236927,26.55902,24.499105,5.070458,85.48714,,,18.104925,1012.0912,69.0435
2015-05-06 00:00:00+00:00,30.11091,26.274302,23.306572,5.3560324,86.39221,,,0.14583014,1011.08435,32.136646
2015-05-07 00:00:00+00:00,28.2349,25.539581,24.314041,4.231515,89.2973,,,23.05195,1010.2775,63.229782
2015-05-08 00:00:00+00:00,28.308886,25.054861,22.821507,3.669975,89.20237,,,16.113712,1010.17084,75.32293
2015-05-09 00:00:00+00:00,29.232874,25.220137,22.478971,3.3901293,89.10746,,,3.721094,1010.164,82.41606
2015-05-10 00:00:00+00:00,28.656862,25.185417,23.386442,3.1098757,90.012535,,,9.291466,1009.3572,83.5092
2015-05-11 00:00:00+00:00,28.030848,25.150696,23.443905,3.6779783,90.91762,,,2.2633214,1009.25037,88.60235
2015-05-12 00:00:00+00:00,28.704838,25.515974,23.751373,3.114398,87.8227,,,8.659498,1010.1436,79.695496
2015-05-13 00:00:00+00:00,29.478823,25.781252,23.308842,3.1166632,86.727776,,,9.177677,1010.8368,89.78863
2015-05-14 00:00:00+00:00,30.252813,25.696535,22.666307,3.9695477,86.63286,,,4.620267,1011.5299,46.881775
2015-05-15 00:00:00+00:00,28.626797,25.411814,23.023777,5.391164,90.53793,,,11.009542,1010.4232,77.974915
2015-05-16 00:00:00+00:00,28.95079,25.27709,22.981241,5.67904,89.443016,,,7.181823,1009.6164,74.068054
2015-05-17 00:00:00+00:00,28.624775,25.442371,23.088707,4.546541,88.34809,,,10.3749895,1009.6096,80.161194
2015-05-18 00:00:00+00:00,26.548763,24.407648,23.246176,4.549854,92.25318,,,26.748432,1011.10284,97.25433
2015-05-19 00:00:00+00:00,26.072752,23.372929,22.803644,4.268597,97.15826,,,20.876215,1012.4959,92.34748
2015-05-20 00:00:00+00:00,26.79674,23.938206,22.011108,3.7021475,92.06333,,,5.134528,1012.8892,52.44062
2015-05-21 00:00:00+00:00,27.020723,24.353485,22.718578,4.2748246,90.96841,,,17.60955,1011.6824,74.53376
2015-05-22 00:00:00+00:00,27.794714,24.718763,22.576044,4.8483367,89.87349,,,0.8133253,1011.17566,78.6269
2015-05-23 00:00:00+00:00,27.968702,24.784048,23.133512,5.13728,90.77857,,,4.0945683,1011.6688,79.72004
2015-05-24 00:00:00+00:00,26.642689,23.999321,22.890978,4.2841926,93.68365,,,25.395927,1012.2621,81.81319
2015-05-25 00:00:00+00:00,26.666674,23.814602,22.148445,5.144787,94.58873,,,7.970055,1011.9552,81.90632
2015-05-26 00:00:00+00:00,27.490662,24.27988,21.605913,5.7206073,92.493805,,,1.0031124,1011.0484,61.999466
2015-05-27 00:00:00+00:00,27.264652,23.89516,22.81338,5.43855,92.39889,,,25.923817,1012.34155,71.092606
2015-05-28 00:00:00+00:00,25.688637,23.21044,22.270845,3.7238338,94.30397,,,9.830777,1013.9348,74.18575
2015-05-29 00:00:00+00:00,27.412626,24.025719,22.228313,3.4399,90.209045,,,0.0,1013.428,74.278885
2015-05-30 00:00:00+00:00,27.286612,24.240997,22.68578,3.7292855,90.114136,,,5.6707735,1013.2213,85.372025
2015-05-31 00:00:00+00:00,28.610601,25.006277,21.843245,3.7320156,85.01921,,,6.055968,1013.3144,14.465164
2015-06-01 00:00:00+00:00,27.834589,24.921556,22.600712,5.45848,87.924286,,,9.930689,1012.8076,40.55831
2015-06-02 00:00:00+00:00,28.108574,24.836836,22.70818,4.0249844,86.82938,,,5.262801,1012.2008,52.65146
2015-06-03 00:00:00+00:00,26.532562,24.552114,23.465649,3.1648064,86.73444,,,29.322235,1012.79407,72.7446
2015-06-04 00:00:00+00:00,28.506552,25.117393,22.423117,3.4550474,84.63953,,,4.2687006,1013.6872,45.83773
2015-06-05 00:00:00+00:00,27.830538,24.83267,22.780584,5.186372,88.54461,,,3.9400785,1014.2804,57.930878
2015-06-06 00:00:00+00:00,26.254524,23.797953,22.53805,4.9018345,92.449684,,,13.344859,1014.2737,67.02402
2015-06-07 00:00:00+00:00,26.728512,23.46323,21.845516,4.905433,94.35476,,,22.516788,1013.8668,72.11716
2015-06-08 00:00:00+00:00,24.852503,23.228508,22.252983,4.331502,100.0,,,12.067955,1014.56,74.210304
2015-06-09 00:00:00+00:00,26.62649,24.143787,23.06045,5.490599,97.16492,,,2.5776587,1014.9532,61.303436
2015-06-10 00:00:00+00:00,27.550476,24.059067,22.567917,6.3622093,98.07001,,,17.612915,1014.0465,44.396584
2015-06-11 00:00:00+00:00,26.974464,23.674345,22.625383,6.366886,100.0,,,14.375113,1013.8396,77.48972
2015-06-12 00:00:00+00:00,26.44845,23.939625,22.832851,5.792336,99.880165,,,1.5039256,1014.0329,61.58287
2015-06-13 00:00:00+00:00,26.922438,24.154902,22.890318,5.7965965,99.78525,,,1.514415,1014.62604,64.676
2015-06-14 00:00:00+00:00,27.846422,24.770182,22.897785,5.220777,95.69032,,,0.19062357,1014.41925,66.76915
2015-06-15 00:00:00+00:00,28.070412,25.035461,22.855253,6.0953913,94.595406,,,1.3436903,1014.21246,54.86229
2015-06-16 00:00:00+00:00,27.3944,24.70074,23.012718,6.3903522,95.50049,,,5.412363,1014.7057,43.95543
2015-06-17 00:00:00+00:00,26.71839,24.266018,23.320187,6.1043763,97.40556,,,1.7518721,1014.5988,80.04857
2015-06-18 00:00:00+00:00,25.942373,23.981298,22.477652,5.5270786,95.31064,,,1.1761029,1014.892,88.141716
2015-06-19 00:00:00+00:00,28.616365,24.896576,22.08512,7.2778363,91.21572,,,0.7895717,1015.1853,41.234848
2015-06-20 00:00:00+00:00,28.690351,24.761856,22.992586,6.7005477,89.1208,,,13.318254,1014.3785,37.327995
2015-06-21 00:00:00+00:00,27.964336,24.027136,21.800056,5.830864,91.02588,,,19.617476,1014.4716,44.421135
2015-06-22 00:00:00+00:00,26.888327,23.892416,22.35752,6.126926,94.930954,,,2.8222349,1014.86487,84.514275
2015-06-23 00:00:00+00:00,26.612312,23.957693,22.864988,6.715399,96.83604,,,0.20300971,1014.1581,77.60741
2015-06-24 00:00:00+00:00,27.586298,23.772972,21.572456,5.5516033,95.74111,,,11.857695,1013.5513,51.700554
2015-06-25 00:00:00+00:00,26.160288,23.63825,22.679924,5.8481126,100.0,,,1.8529944,1013.1445,77.7937
2015-06-26 00:00:00+00:00,27.484274,24.15353,22.587389,5.5598145,95.55128,,,13.684812,1012.7377,68.88683
2015-06-27 00:00:00+00:00,27.208263,23.968811,22.444859,5.563927,95.45636,,,12.737726,1013.5309,79.97999
2015-06-28 00:00:00+00:00,26.08225,23.384089,22.502321,5.568044,98.36143,,,25.025364,1013.6241,95.07312
2015-06-29 00:00:00+00:00,25.856237,23.34937,21.959791,6.745254,98.26652,,,17.155128,1013.8173,85.16626
2015-06-30 00:00:00+00:00,26.530226,23.464647,21.917257,5.2828035,96.17159,,,2.5595875,1014.61053,92.2594
